MJD,FLT,FLUXCAL,FLUXCALERR,MAG,MAGERR,TELESCOPE,INSTRUMENT
58939.338,g-ZTF,2457.65,310.731,19.024,0.137,P48,ZTF-Cam
58939.373,r-ZTF,5479.236,497.69,18.153,0.099,P48,ZTF-Cam
58939.338,g-ZTF,2457.583,310.722,19.024,0.137,P48,ZTF-Cam
58939.373,r-ZTF,5478.995,497.668,18.153,0.099,P48,ZTF-Cam
58940.359,g-ZTF,22418.499,1783.391,16.623,0.086,P48,ZTF-Cam
58941.267,g-ZTF,21543.83,835.782,16.667,0.042,P48,ZTF-Cam
58954.255,r-ZTF,61310.534,2579.954,15.531,0.046,P48,ZTF-Cam
58955.268,r-ZTF,61026.311,1936.75,15.536,0.034,P48,ZTF-Cam
58955.301,g-ZTF,24363.31,1114.132,16.533,0.05,P48,ZTF-Cam
58956.265,r-ZTF,60816.066,1433.451,15.54,0.026,P48,ZTF-Cam
58962.232,g-ZTF,20850.011,814.398,16.702,0.042,P48,ZTF-Cam
58962.268,r-ZTF,62013.166,2354.805,15.519,0.041,P48,ZTF-Cam
58965.232,g-ZTF,19339.211,711.309,16.784,0.04,P48,ZTF-Cam
58965.287,r-ZTF,59837.171,2337.381,15.558,0.042,P48,ZTF-Cam
58967.228,g-ZTF,17500.559,659.86,16.892,0.041,P48,ZTF-Cam
58968.202,r-ZTF,59046.852,2274.348,15.572,0.042,P48,ZTF-Cam
58968.273,g-ZTF,17422.154,714.859,16.897,0.045,P48,ZTF-Cam
58971.213,r-ZTF,59018.851,2081.205,15.573,0.038,P48,ZTF-Cam
58971.276,g-ZTF,15835.657,612.507,17.001,0.042,P48,ZTF-Cam
58975.203,r-ZTF,56187.129,1582.453,15.626,0.031,P48,ZTF-Cam
58975.25,g-ZTF,14513.78,621.182,17.096,0.046,P48,ZTF-Cam
58978.17,g-ZTF,13594.694,616.603,17.167,0.049,P48,ZTF-Cam
58978.248,r-ZTF,56172.424,1965.232,15.626,0.038,P48,ZTF-Cam
58981.201,g-ZTF,12528.076,612.219,17.255,0.053,P48,ZTF-Cam
58981.25,r-ZTF,53758.011,1024.049,15.674,0.021,P48,ZTF-Cam
58911.411,orange-ATLAS,288.138,514.326,21.351,1.785,ATLAS,HKO
58911.434,orange-ATLAS,-1408.64,484.572,nan,-0.373,ATLAS,HKO
58911.442,orange-ATLAS,1263.572,531.964,19.746,0.421,ATLAS,HKO
58911.451,orange-ATLAS,-325.687,456.613,nan,-1.522,ATLAS,HKO
58912.525,orange-ATLAS,314.775,357.899,21.255,1.137,ATLAS,HKO
58912.528,orange-ATLAS,1366.47,460.5,19.661,0.337,ATLAS,HKO
58912.534,orange-ATLAS,61.944,329.543,23.02,5.32,ATLAS,HKO
58912.547,orange-ATLAS,-845.668,408.458,nan,-0.524,ATLAS,HKO
58913.433,orange-ATLAS,-48.663,428.965,nan,-9.571,ATLAS,HKO
58913.437,orange-ATLAS,-83.792,420.717,nan,-5.451,ATLAS,HKO
58913.459,orange-ATLAS,371.535,496,21.075,1.335,ATLAS,HKO
58920.557,orange-ATLAS,105.39,2689.556,22.443,25.52,ATLAS,HKO
58920.56,orange-ATLAS,-739.946,3496.245,nan,-5.13,ATLAS,HKO
58920.572,orange-ATLAS,4168.694,3860.21,18.45,0.926,ATLAS,HKO
58921.545,orange-ATLAS,1171.656,14883.542,19.828,12.703,ATLAS,HKO
58921.549,orange-ATLAS,6729.767,18008.855,17.93,2.676,ATLAS,HKO
58921.554,orange-ATLAS,-5190.39,5979.329,nan,-1.251,ATLAS,HKO
58921.565,orange-ATLAS,4848.417,12048.317,18.286,2.485,ATLAS,HKO
58925.477,orange-ATLAS,2085.451,1261.698,19.202,0.605,ATLAS,HKO
58925.489,orange-ATLAS,308.177,502.328,21.278,1.63,ATLAS,HKO
58925.5,orange-ATLAS,211.446,634.339,21.687,3,ATLAS,HKO
58925.504,orange-ATLAS,-1062.674,582.345,nan,-0.595,ATLAS,HKO
58931.546,cyan-ATLAS,-165.196,364.258,nan,-2.394,ATLAS,HKO
58931.55,cyan-ATLAS,-30.255,380.338,nan,-13.649,ATLAS,HKO
58931.56,cyan-ATLAS,-233.991,415.101,nan,-1.926,ATLAS,HKO
58931.572,cyan-ATLAS,-1221.237,459.185,nan,-0.408,ATLAS,HKO
58933.538,orange-ATLAS,1428.236,461.32,19.613,0.323,ATLAS,HKO
58933.545,orange-ATLAS,-897.016,508.608,nan,-0.616,ATLAS,HKO
58933.549,orange-ATLAS,53.852,439.807,23.172,8.167,ATLAS,HKO
58933.561,orange-ATLAS,850.354,392.864,20.176,0.462,ATLAS,HKO
58937.515,orange-ATLAS,506.291,890.059,20.739,1.758,ATLAS,HKO
58937.518,orange-ATLAS,2290.868,666.642,19.1,0.291,ATLAS,HKO
58937.528,orange-ATLAS,397.375,389.824,21.002,0.981,ATLAS,HKO
58937.536,orange-ATLAS,-50.769,339.95,nan,-7.27,ATLAS,HKO
58941.391,orange-ATLAS,44998.703,719.979,15.867,0.016,ATLAS,HKO
58941.402,orange-ATLAS,43772.364,744.13,15.897,0.017,ATLAS,HKO
58941.405,orange-ATLAS,44055.486,792.999,15.89,0.018,ATLAS,HKO
58941.41,orange-ATLAS,43052.661,861.053,15.915,0.02,ATLAS,HKO
58943.441,orange-ATLAS,54050.535,918.859,15.668,0.017,ATLAS,HKO
58943.455,orange-ATLAS,54852.951,932.5,15.652,0.017,ATLAS,HKO
58943.459,orange-ATLAS,54752.002,711.776,15.654,0.013,ATLAS,HKO
58943.464,orange-ATLAS,54000.776,810.012,15.669,0.015,ATLAS,HKO
58941.391,orange,45164.79,1081.556,15.863,0.026,ATLAS,HKO
58949.509,Unknown,75857.758,0,15.3,0,Unknown,Unknown
58955.305,w,55462.571,510.829,15.64,0.01,Pan-STARRS1,GPC1
58956.435,g,24660.393,454.261,16.52,0.02,Pan-STARRS1,GPC1
58875.582,g,24.562,142.824,24.024,5.815,Pan-STARRS1,GPC1
58875.584,i,363.494,138.15,21.099,0.38,Pan-STARRS1,GPC1
58878.501,r,85.475,316.81,22.67,3.706,Pan-STARRS1,GPC1
58878.503,g,143.445,237.453,22.108,1.655,Pan-STARRS1,GPC1
58956.435,g,24703.586,384.812,16.518,0.017,Pan-STARRS1,GPC1
58956.437,r,59577.188,486.479,15.562,0.009,Pan-STARRS1,GPC1
58958.409,g,22944.574,219.873,16.598,0.01,Pan-STARRS1,GPC1
58958.411,i,74500.639,292.952,15.32,0.004,Pan-STARRS1,GPC1
58960.294,g,22492.618,167.162,16.62,0.008,Pan-STARRS1,GPC1
58960.296,r,58673.23,229.689,15.579,0.004,Pan-STARRS1,GPC1
58967.248,g,19287.68,254.174,16.787,0.014,Pan-STARRS1,GPC1
58967.25,i,77710.553,463.403,15.274,0.006,Pan-STARRS1,GPC1
58970.304,g,18018.557,330.686,16.861,0.02,Pan-STARRS1,GPC1
58970.306,i,79031.459,385.596,15.255,0.005,Pan-STARRS1,GPC1
58980.367,i,77047.757,279.265,15.283,0.004,Pan-STARRS1,GPC1
58980.369,r,49636.368,187.553,15.761,0.004,Pan-STARRS1,GPC1
