Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.1262.070,9.169275726441965,121.799930595874,-0.999583310924,122.016597267394,-1.21631942689,122.016597267394,-0.7827777505119999,121.583263924354,-0.7827777505119999,121.583263924354,-1.21631942689
skycell.1262.080,8.805423756313626,121.799930595874,-0.5993749686259999,122.016597267394,-0.8161110845919999,122.016597267394,-0.3825694082139999,121.583263924354,-0.3825694082139999,121.583263924354,-0.8161110845919999
skycell.1262.081,8.982624223756108,121.399930586914,-0.5993749686259999,121.616597258434,-0.8161110845919999,121.616597258434,-0.3825694082139999,121.183263915394,-0.3825694082139999,121.183263915394,-0.8161110845919999
skycell.1262.082,9.173764270883048,120.999930577954,-0.5993749686259999,121.216597249474,-0.8161110845919999,121.216597249474,-0.3825694082139999,120.783263906434,-0.3825694082139999,120.783263906434,-0.8161110845919999
skycell.1262.090,8.444834820371492,121.799930595874,-0.1991666263279998,122.016597267394,-0.415902742294,122.016597267394,0.0176389340840001,121.583263924354,0.0176389340840001,121.583263924354,-0.415902742294
skycell.1262.091,8.629394073735494,121.399930586914,-0.1991666263279998,121.616597258434,-0.415902742294,121.616597258434,0.0176389340840001,121.183263915394,0.0176389340840001,121.183263915394,-0.415902742294
skycell.1262.092,8.828132652407652,120.999930577954,-0.1991666263279998,121.216597249474,-0.415902742294,121.216597249474,0.0176389340840001,120.783263906434,0.0176389340840001,120.783263906434,-0.415902742294
skycell.1262.093,9.040115407159297,120.599930568994,-0.1991666263279998,120.816597240514,-0.415902742294,120.816597240514,0.0176389340840001,120.383263897474,0.0176389340840001,120.383263897474,-0.415902742294
skycell.1263.050,9.17041597415675,125.799930595874,-1.79999999552,126.016597267394,-2.016736111486,126.016597267394,-1.583194435108,125.583263924354,-1.583194435108,125.583263924354,-2.016736111486
skycell.1263.051,9.168691975291775,125.399930586914,-1.79999999552,125.616597258434,-2.016736111486,125.616597258434,-1.583194435108,125.183263915394,-1.583194435108,125.183263915394,-2.016736111486
skycell.1263.052,9.18432659641564,124.999930577954,-1.79999999552,125.216597249474,-2.016736111486,125.216597249474,-1.583194435108,124.783263906434,-1.583194435108,124.783263906434,-2.016736111486
skycell.1263.053,9.21723150275928,124.599930568994,-1.79999999552,124.816597240514,-2.016736111486,124.816597240514,-1.583194435108,124.383263897474,-1.583194435108,124.383263897474,-2.016736111486
skycell.1263.060,8.770349409679708,125.799930595874,-1.399791653222,126.016597267394,-1.616527769188,126.016597267394,-1.18298609281,125.583263924354,-1.18298609281,125.583263924354,-1.616527769188
skycell.1263.061,8.76854705967783,125.399930586914,-1.399791653222,125.616597258434,-1.616527769188,125.616597258434,-1.18298609281,125.183263915394,-1.18298609281,125.183263915394,-1.616527769188
skycell.1263.062,8.784891079669102,124.999930577954,-1.399791653222,125.216597249474,-1.616527769188,125.216597249474,-1.18298609281,124.783263906434,-1.18298609281,124.783263906434,-1.616527769188
skycell.1263.063,8.819280580404941,124.599930568994,-1.399791653222,124.816597240514,-1.616527769188,124.816597240514,-1.18298609281,124.383263897474,-1.18298609281,124.383263897474,-1.616527769188
skycell.1263.064,8.871505704706562,124.199930560034,-1.399791653222,124.416597231554,-1.616527769188,124.416597231554,-1.18298609281,123.983263888514,-1.18298609281,123.983263888514,-1.616527769188
skycell.1263.065,8.941253920986517,123.799930551074,-1.399791653222,124.016597222594,-1.616527769188,124.016597222594,-1.18298609281,123.583263879554,-1.18298609281,123.583263879554,-1.616527769188
skycell.1263.066,9.028119095358218,123.399930542114,-1.399791653222,123.616597213634,-1.616527769188,123.616597213634,-1.18298609281,123.183263870594,-1.18298609281,123.183263870594,-1.616527769188
skycell.1263.067,9.131612748730797,122.999930533154,-1.399791653222,123.216597204674,-1.616527769188,123.216597204674,-1.18298609281,122.783263861634,-1.18298609281,122.783263861634,-1.616527769188
