Star,RAJ2000,DECJ2000
10 Lac,22 39 15.679, +39 03 00.97
109 Vir,14 46 14.925, +01 53 34.38
16 Cyg B,19 41 51.973, +50 31 03.09
18 Sco,16 15 37.270, -08 22 09.98
1732526,17 32 52.630, +71 04 43.12
1740346,17 40 34.679, +65 27 14.77
1743045,17 43 04.486, +66 55 01.66
1757132,17 57 13.233, +67 03 40.77
1802271,18 02 27.17 , +60 43 35.7 
1805292,18 05 29.275, +64 27 52.13
1808347,18 08 34.736, +69 27 28.72
1812095,18 12 09.567, +63 29 42.26
1812524,18 12 52.381, +60 02 31.95
2M0036+18   ,00 36 16.112, +18 21 10.29
2M0559-14   ,05 59 19.188, -14 04 49.22
AGK+81 266  ,09 21 19.177, +81 43 27.63
ALPHA LYR   ,18 36 56.336, +38 47 01.28
BD+02 3375  ,17 39 45.595, +02 24 59.61
BD-11 3759  ,14 34 16.812, -12 31 10.42
BD+17 4708  ,22 11 31.375, +18 05 34.16
BD+21 0607  ,04 14 35.516, +22 21 04.25
BD+25 4655  ,21 59 41.975, +26 25 57.40
BD+26 2606  ,14 49 02.355, +25 42 09.14
BD+28 4211  ,21 51 11.022, +28 51 50.37
BD+29 2091  ,10 47 23.163, +28 23 55.93
BD+33 2642  ,15 51 59.886, +32 56 54.33
BD+54 1216  ,08 19 22.572, +54 05 09.63
BD+60 1753  ,17 24 52.277, +60 25 50.78
BD+75 325   ,08 10 49.490, +74 57 57.94
C26202,03 32 32.843, -27 51 48.58
DELTA UMI,17 32 12.997, +86 35 11.26
ETA UMA,13 47 32.438, +49 18 47.76
ETA1 DOR,06 06 09.382, -66 02 22.63
FEIGE110    ,23 19 58.400, -05 09 56.17
FEIGE34     ,10 39 36.738, +43 06 09.21
FEIGE66     ,12 37 23.516, +25 03 59.87
FEIGE67     ,12 41 51.790, +17 31 19.75
G191B2B     , 5 05 30.618, +52 49 51.92
G93-48      ,21 52 25.379, +02 23 19.58
GD108       ,10 00 47.246, -07 33 30.78
GD153       ,12 57 02.322, +22 01 52.63
GD50        ,03 48 50.186, -00 58 32.29
GD71        , 5 52 27.620, +15 53 13.23
GJ754.1A    ,19 20 34.923, -07 40 00.07
GRW+70 5824 ,13 38 50.478, +70 17 07.64
HD2811      ,00 31 18.490, -43 36 23.00
HD009051    ,01 28 46.503, -24 20 25.44
HD14943     ,02 22 54.675, -51 05 31.66
HD031128    ,04 52 09.910, -27 03 50.94
HD37725     ,05 41 54.370, +29 17 50.96
HD37962     ,05 40 51.966, -31 21 03.99
HD38949     ,05 48 20.059, -24 27 49.85
HD55677     ,07 14 31.290, +13 51 36.79
HD60753     ,07 33 27.319, -50 35 03.31
HD074000    ,08 40 50.804, -16 20 42.51
HD93521     ,10 48 23.512, +37 34 13.09
HD106252    ,12 13 29.510, +10 02 29.89
HD111980    ,12 53 15.053, -18 31 20.01
HD115169    ,13 15 47.388, -29 30 21.18
HD116405    ,13 22 45.124, +44 42 53.91
HD128998    ,14 38 15.222, +54 01 24.02
HD142331    ,15 54 19.788, -08 34 49.37
HD158485    ,17 26 04.837, +58 39 06.83
HD159222    ,17 32 00.992, +34 16 16.13
HD160617    ,17 42 49.324, -40 19 15.51
HD163466    ,17 52 25.376, +60 23 46.94
HD165459    ,18 02 30.741, +58 37 38.16
HD167060    ,18 17 44.143, -61 42 31.62
HD180609    ,19 12 47.200, +64 10 37.17
HD185975    ,20 28 18.740, -87 28 19.94
HD200654    ,21 06 34.751, -49 57 50.28
HD205905    ,21 39 10.151, -27 18 23.67
HD209458    ,22 03 10.773, +18 53 03.55
HS2027+0651 ,20 29 32.506, +07 01 07.70
HZ2         ,04 12 43.555, +11 51 48.97
HZ21        ,12 13 56.264, +32 56 31.36
HZ4         ,03 55 21.988, +09 47 18.13
HZ43        ,13 16 21.853, +29 05 55.38
HZ43B       ,13 16 21.495, +29 05 53.07
HZ44        ,13 23 35.263, +36 07 59.55
KF01T5      ,18 04 03.894, +66 55 43.81
KF06T1      ,17 57 58.486, +66 52 29.41
KF06T2      ,17 58 37.995, +66 46 52.11
KF08T3      ,17 55 16.216, +66 10 11.61
ksi2 Ceti   ,02 28 09.557, +08 27 36.22
LAM LEP     ,05 19 34.524, -13 10 36.44
LB227       ,04 09 28.904, +17 07 54.39
LDS749B     ,21 32 16.233, +00 15 14.40
LTT9491     ,23 19 35.388, -17 05 28.47
MU COL      ,05 45 59.895, -32 18 23.16
NGC6681-1,18 43 13.319,-32 17 25.36
NGC6681-2,18 43 13.165,-32 17 25.82
NGC6681-3,18 43 13.041,-32 17 25.41
NGC6681-4,18 43 12.893,-32 17 26.43
NGC6681-5,18 43 12.872,-32 17 26.56
NGC6681-6,18 43 12.755,-32 17 25.69
NGC6681-7,18 43 12.639,-32 17 27.09
NGC6681-8,18 43 12.278,-32 17 27.51
NGC6681-9,18 43 12.199,-32 17 27.11
NGC6681-10,18 43 12.146,-32 17 26.58
NGC6681-11,18 43 12.049,-32 17 27.52
NGC6681-12,18 43 11.902,-32 17 27.91
NGC7293     ,22 29 38.545, -20 50 13.75
P041C       ,14 51 57.980, +71 43 17.39
P177D       ,15 59 13.579, +47 36 41.91
P330E       ,16 31 33.813, +30 08 46.40
SDSS132811  ,13 28 11.498,  46 30 50.94
SDSSJ151421 ,15 14 21.273, +00 47 52.81
SF1615+001A ,16 18 14.240, +00 00 08.61
SIRIUS      ,06 45 08.917, -16 42 58.02
SNAP-1      ,16 29 35.747, +52 55 53.61
SNAP-2      ,16 19 46.103, +55 34 17.86
VB8         ,16 55 35.256, -08 23 40.75
WD0308-565  ,03 09 47.918, -56 23 49.41
WD0320-539  ,03 22 14.820, -53 45 16.47
WD0947+857  ,09 57 54.296,  85 29 40.88
WD1026+453  ,10 29 45.295, +45 07 04.93
WD1057+719  ,11 00 34.243, +71 38 02.92
WD1327-083  ,13 30 13.637, -08 34 29.47
WD1657+343  ,16 58 51.113, +34 18 53.32
WD2341+322  ,23 43 50.721, +32 32 46.73
